PilotId,FullName,NextTrainingDate,Rank,AircraftId
1,Alexander Hall,01 09 2025,"""Captain""",NULL
2,Sophia Turner,03 10 2025,"""Chief Warrant Officer""",597
3,Jacob Johnson,13 12 2025,"""Sergeant""",NULL
4,Olivia Mitchell,18 12 2025,"""Warrant Officer""",NULL
5,Amelia Taylor,12 07 2025,"""General""",800
6,Mason Smith,13 08 2025,"""Second Lieutenant""",NULL
7,James Smith,21 06 2025,"""Second Lieutenant""",6
8,Mason Hall,11 10 2025,"""Airman""",NULL
9,Liam Davis,12 07 2025,"""Sergeant""",25
10,Noah Taylor,29 08 2025,"""Master Sergeant""",64
11,Olivia Mitchell,24 06 2025,"""Master Sergeant""",494
12,William Green,18 11 2025,"""Major""",NULL
13,Ava King,17 12 2025,"""Lieutenant General""",656
14,Ethan Mitchell,15 05 2025,"""Colonel""",348
15,James Johnson,09 05 2025,"""General""",323
16,Liam Allen,28 12 2025,"""Captain""",17
17,Daniel Young,15 08 2025,"""Staff Sergeant""",115
18,Ava Adams,26 11 2025,"""Chief Warrant Officer""",736
19,Harper Nelson,07 07 2025,"""Staff Sergeant""",NULL
20,Mason Scott,25 06 2025,"""First Lieutenant""",7
21,Harper Hall,27 06 2025,"""General""",678
22,Ava Hall,20 07 2025,"""Colonel""",NULL
23,Sophia Hall,25 10 2025,"""Sergeant""",399
24,Ethan Baker,21 05 2025,"""Lieutenant Colonel""",240
25,Sophia Wright,16 07 2025,"""General""",401
26,Lucas Adams,29 07 2025,"""Staff Sergeant""",NULL
27,Michael Nelson,10 12 2025,"""Airman First Class""",796
28,Amelia Clark,29 09 2025,"""Chief Warrant Officer""",26
29,Lucas Carter,22 09 2025,"""Major General""",45
30,Olivia Adams,02 09 2025,"""Airman""",463
31,James Brown,10 12 2025,"""Brigadier General""",27
32,Alexander Walker,14 12 2025,"""Major""",475
33,Lucas Green,12 07 2025,"""Commander""",490
34,Liam Turner,21 05 2025,"""Lieutenant""",24
35,Jacob Lewis,01 09 2025,"""Senior Airman""",638
36,Lucas Johnson,01 11 2025,"""Captain""",381
37,Emma Allen,11 12 2025,"""Airman""",795
38,Charlotte Adams,27 10 2025,"""Senior Airman""",263
39,Isabella Allen,19 08 2025,"""Airman First Class""",NULL
40,Isabella Baker,30 11 2025,"""General""",677
41,Isabella Wright,18 05 2025,"""Airman""",500
42,Olivia Allen,17 08 2025,"""Second Lieutenant""",NULL
43,Mia Lewis,07 06 2025,"""Senior Airman""",389
44,Amelia Clark,06 09 2025,"""Captain""",666
45,Ava Smith,22 12 2025,"""Lieutenant Colonel""",191
46,Zoe Nelson,16 12 2025,"""Major General""",NULL
47,Jacob Nelson,09 05 2025,"""General""",NULL
48,Charlotte Davis,14 11 2025,"""General""",28
49,Ethan Johnson,25 11 2025,"""Sergeant""",NULL
50,Alexander Nelson,20 06 2025,"""Senior Airman""",726
51,Liam King,17 06 2025,"""Major General""",10
52,Jacob Lewis,31 08 2025,NULL,86
53,Amelia Carter,16 07 2025,"""First Lieutenant""",NULL
54,Harper Davis,14 06 2025,"""Master Sergeant""",40
55,Lucas Turner,18 05 2025,"""Warrant Officer""",NULL
56,Daniel Scott,31 05 2025,"""Sergeant""",545
57,James Allen,02 09 2025,"""Staff Sergeant""",29
58,William Walker,17 11 2025,"""Airman""",242
59,Sophia Nelson,29 05 2025,"""Senior Airman""",117
60,Isabella Allen,20 12 2025,"""Senior Airman""",717
61,Harper Carter,24 07 2025,"""Captain""",458
62,Charlotte Brown,17 08 2025,"""Colonel""",567
63,Lucas Carter,12 08 2025,"""Lieutenant General""",NULL
64,Sophia Young,12 11 2025,"""Major""",NULL
65,Charlotte Wright,21 10 2025,"""Staff Sergeant""",30
66,Noah King,16 12 2025,"""Warrant Officer""",793
67,Daniel Davis,15 12 2025,"""Lieutenant General""",NULL
68,Isabella Young,27 08 2025,"""Senior Airman""",257
69,Daniel Davis,08 11 2025,NULL,444
70,Amelia Wilson,23 07 2025,"""First Lieutenant""",NULL
71,Isabella Turner,03 05 2025,"""Major""",NULL
72,Charlotte Wilson,02 10 2025,"""Airman""",31
73,William Turner,17 06 2025,"""General""",32
74,Olivia Walker,04 08 2025,"""Major General""",NULL
75,Charlotte Allen,27 07 2025,NULL,655
76,Sophia Smith,28 10 2025,"""Major""",NULL
77,Isabella Hall,25 12 2025,"""Sergeant""",596
78,Harper Hall,05 09 2025,"""Sergeant""",699
79,Amelia Baker,08 06 2025,"""General""",201
80,James Wilson,01 07 2025,"""Senior Airman""",627
81,Amelia Lewis,23 09 2025,"""Lieutenant Colonel""",33
82,Amelia Young,10 08 2025,"""Lieutenant Colonel""",NULL
83,Daniel Baker,23 09 2025,"""Major General""",NULL
84,Evelyn Davis,02 12 2025,"""Chief Warrant Officer""",161
85,Amelia Clark,17 08 2025,"""Warrant Officer""",34
86,Isabella Adams,20 09 2025,"""Airman""",35
87,Ethan Carter,31 07 2025,"""Senior Airman""",NULL
88,Ava King,28 06 2025,"""First Lieutenant""",371
89,Sophia Walker,30 07 2025,"""General""",NULL
90,Ethan King,01 05 2025,"""Staff Sergeant""",36
91,Sophia Adams,10 05 2025,NULL,NULL
92,Charlotte Wilson,27 11 2025,"""General""",327
93,Zoe Johnson,02 08 2025,"""Senior Airman""",NULL
94,Olivia Taylor,11 07 2025,"""Lieutenant General""",37
95,Michael Adams,22 08 2025,"""Major General""",225
96,Ethan Green,24 10 2025,"""Lieutenant""",21
97,Charlotte Lewis,17 08 2025,"""Staff Sergeant""",131
98,Mia Mitchell,05 12 2025,"""Warrant Officer""",NULL
99,James Taylor,19 10 2025,"""Master Sergeant""",422
100,Mason Turner,24 12 2025,"""Chief Warrant Officer""",NULL
101,Jacob Taylor,13 05 2025,"""Sergeant""",38
102,Charlotte Smith,10 06 2025,"""Warrant Officer""",591
103,Mason Young,02 05 2025,"""Brigadier General""",NULL
104,Noah Nelson,21 10 2025,"""Captain""",423
